test_accuracy,test_precision,test_recall,test_f1_macro,test_roc_auc,test_pr_auc,test_fpr,minority_recall,method,n_qubits,total_full_trainings,total_shots,episodes_to_convergence,wall_time_total_sec,status,dataset,protocol,seed,run_wall_time_sec,stage1_full_trainings,stage2_full_trainings,rl_budget,wall_time_stage1_sec,wall_time_stage2_sec,wall_time_final_sec,selected_features_idx,best_hyperparams,circuit_depth,low_fidelity_evals,full_fidelity_evals,total_circuit_evals,best_val_f1_macro,wall_time_search_sec,note
0.8966666666666666,0.8951613628959829,0.8955222805095981,0.8953381119175454,0.9725047018216405,0.9678816932401895,0.09449760765550239,0.9055023923444976,7_sf_qnac_ids,4.0,61,153600.0,60.0,7.94,ok,UNSW-NB15,A,44,7.94,,,60.0,,,,,"{'n_estimators': 150.0, 'max_depth': 8.0, 'learning_rate': 0.16, 'min_child_weight': 4.0, 'gamma': 0.25, 'subsample': 0.9, 'colsample_bytree': 0.9, 'reg_alpha': 0.0, 'reg_lambda': 1.0}",11.0,51.0,9.0,3900.0,0.899039961564708,,
0.708,0.7626838235294118,0.7316863146365367,0.7035391202015754,0.7607993276935493,0.649900705023122,0.4748803827751196,0.5251196172248804,bench_logreg,,1,,,2.36,ok,UNSW-NB15,A,44,2.36,,,,,,,,,,,,,,,
0.9086666666666666,0.9070711553422655,0.9081469418343229,0.907575274429474,0.9756498331844123,0.9706737388493273,0.08732057416267942,0.9126794258373205,bench_random_forest,,1,,,1.17,ok,UNSW-NB15,A,44,1.17,,,,,,,,,,,,,,,
0.9033333333333333,0.9017156228433403,0.9026650861820488,0.9021638213956702,0.9754818466449531,0.9709630643716917,0.09150717703349283,0.9084928229665071,bench_lightgbm,,1,,,0.34,ok,UNSW-NB15,A,44,0.34,,,,,,,,,,,,,,,
0.9063333333333333,0.9061561714626685,0.9037297515420534,0.904814156698029,0.976295207744855,0.9719034120274737,0.0735645933014354,0.9264354066985646,bench_optuna_xgboost,,26,,,9.59,ok,UNSW-NB15,A,44,9.59,,,,,,,,"{'n_estimators': 366, 'max_depth': 9, 'learning_rate': 0.08926164761035005, 'min_child_weight': 8, 'gamma': 4.596548316965778, 'subsample': 0.8995544203181707, 'colsample_bytree': 0.9399799525116795}",,,,,,9.22,
0.732,0.7285065406976745,0.726570156222978,0.7273447447621253,0.7989941974837147,0.6742718081668011,0.22607655502392343,0.7739234449760766,bench_quantum_kernel_classifier,3.0,1,0.0,,1.86,ok,UNSW-NB15,A,44,1.86,,,,,,,,,,,,,,,"analytic (shot-free) quantum feature map, classical simulate-only deployment"
0.997,0.9961936614110527,0.9942760686364098,0.9952314268047857,0.9997983438814996,0.9991155548133385,0.0012437810945273632,0.9987562189054726,1_xgboost_default,0.0,1,0.0,0.0,0.65,ok,CIC-IDS-2017,A,42,0.65,,,,,,,,,,,,,,,
0.9913333333333333,0.9900044691969196,0.9823924594713507,0.9861434430772642,0.9987322458004761,0.9961876070257326,0.002902155887230514,0.9970978441127695,2_sho_xgboost,0.0,61,0.0,0.0,4.27,ok,CIC-IDS-2017,A,42,4.27,,,,,,,,,,,,,,,
0.9426666666666667,0.9240727136362659,0.8891088773817984,0.9051994082679344,0.9681940354914769,0.9181577690945916,0.022802653399668325,0.9771973466003316,3_qrl_sho_xgboost_reproduction,8.0,142,2138103808.0,80.0,47.39,ok,CIC-IDS-2017,A,42,47.4,60.0,81.0,80.0,40.43,4.39,2.57,"[17, 22, 38, 51, 54, 66, 69, 70]","{'n_estimators': 60, 'max_depth': 4}",,,,,,,
0.995,0.9917571487220077,0.9923892442549159,0.9920728187347831,0.9996908174546767,0.9987008758372871,0.003316749585406302,0.9966832504145937,4_classical_actor_critic,0.0,61,0.0,15.0,5.73,ok,CIC-IDS-2017,A,42,5.73,,,60.0,,,,,"{'n_estimators': 200.0, 'max_depth': 5.0, 'learning_rate': 0.19999999999999998, 'min_child_weight': 6.0, 'gamma': 0.25, 'subsample': 0.9, 'colsample_bytree': 0.9, 'reg_alpha': 0.0, 'reg_lambda': 1.0}",0.0,51.0,9.0,0.0,0.9936709572650775,,
0.9956666666666667,0.9940701810267027,0.9921607946661252,0.9931120609402461,0.9996608510734311,0.998688777703455,0.0020729684908789387,0.9979270315091211,5_vqc_actor_critic_ordinary_grad,4.0,61,1966080.0,33.0,7.54,ok,CIC-IDS-2017,A,42,7.54,,,60.0,,,,,"{'n_estimators': 125.0, 'max_depth': 6.0, 'learning_rate': 0.12000000000000001, 'min_child_weight': 1.0, 'gamma': 0.0, 'subsample': 0.9, 'colsample_bytree': 0.9, 'reg_alpha': 0.0, 'reg_lambda': 1.0}",11.0,51.0,9.0,3900.0,0.9931391443706005,,
0.9956666666666667,0.9928134279853444,0.9934468812400582,0.9931297762368121,0.9996488645209328,0.9986521024877038,0.002902155887230514,0.9970978441127695,6_qnac_fixed_shots,4.0,61,1966080.0,23.0,8.37,ok,CIC-IDS-2017,A,42,8.37,,,60.0,,,,,"{'n_estimators': 250.0, 'max_depth': 10.0, 'learning_rate': 0.12000000000000001, 'min_child_weight': 4.0, 'gamma': 0.0, 'subsample': 0.9, 'colsample_bytree': 0.9, 'reg_alpha': 0.0, 'reg_lambda': 1.0}",11.0,51.0,9.0,3900.0,0.9936709572650775,,
0.9876666666666667,0.9850449890736198,0.9756108911226182,0.9802423568625503,0.9974814137927144,0.9925952923856053,0.004560530679933665,0.9954394693200663,7_sf_qnac_ids,4.0,61,153600.0,24.0,7.92,ok,CIC-IDS-2017,A,42,7.92,,,60.0,,,,,"{'n_estimators': 175.0, 'max_depth': 10.0, 'learning_rate': 0.08, 'min_child_weight': 3.0, 'gamma': 0.0, 'subsample': 0.9, 'colsample_bytree': 0.9, 'reg_alpha': 0.0, 'reg_lambda': 1.0}",11.0,51.0,9.0,3900.0,0.9857138701188792,,
0.7363333333333333,0.6891644770402025,0.791015162283819,0.6887489636442263,0.8917339323789216,0.747138185659689,0.29892205638474295,0.701077943615257,bench_logreg,,1,,,2.68,ok,CIC-IDS-2017,A,42,2.68,,,,,,,,,,,,,,,
0.996,0.9962097463664862,0.99108200494128,0.9936212918443255,0.999436279486919,0.9967894547817658,0.0008291873963515755,0.9991708126036484,bench_random_forest,,1,,,0.89,ok,CIC-IDS-2017,A,42,0.89,,,,,,,,,,,,,,,
0.9973333333333333,0.9964046475197299,0.9951264087724643,0.9957640012114957,0.9998395917239201,0.9993691512741064,0.0012437810945273632,0.9987562189054726,bench_lightgbm,,1,,,0.57,ok,CIC-IDS-2017,A,42,0.57,,,,,,,,,,,,,,,
0.995,0.9917571487220077,0.9923892442549159,0.9920728187347831,0.9997274822034949,0.9988616998716989,0.003316749585406302,0.9966832504145937,bench_optuna_xgboost,,26,,,9.43,ok,CIC-IDS-2017,A,42,9.43,,,,,,,,"{'n_estimators': 290, 'max_depth': 6, 'learning_rate': 0.19512888520298532, 'min_child_weight': 9, 'gamma': 0.7584405895444397, 'subsample': 0.6987358434516172, 'colsample_bytree': 0.666522323552023}",,,,,,8.91,
0.8436666666666667,0.7671206961785849,0.677712627339493,0.70546213869656,0.6430806568066696,0.5183273125785495,0.04933665008291874,0.9506633499170812,bench_quantum_kernel_classifier,3.0,1,0.0,,3.46,ok,CIC-IDS-2017,A,42,3.46,,,,,,,,,,,,,,,"analytic (shot-free) quantum feature map, classical simulate-only deployment"
0.997,0.9954509127131208,0.9947836201842197,0.9951168616395301,0.9998622797651021,0.9993626535936961,0.0016454134101192926,0.9983545865898807,1_xgboost_default,0.0,1,0.0,0.0,0.57,ok,CIC-IDS-2017,A,43,0.57,,,,,,,,,,,,,,,
0.9943333333333333,0.9930905677893612,0.9884268011529461,0.9907387886226563,0.9996078045804088,0.9980465663446538,0.0020567667626491155,0.9979432332373509,2_sho_xgboost,0.0,61,0.0,0.0,3.71,ok,CIC-IDS-2017,A,43,3.71,,,,,,,,,,,,,,,
0.9226666666666666,0.8797917114293298,0.8558006535947713,0.8670842563593308,0.9248299410343848,0.8378723395364767,0.03839869281045752,0.9616013071895425,3_qrl_sho_xgboost_reproduction,8.0,142,2138103808.0,31.0,54.75,ok,CIC-IDS-2017,A,43,54.76,60.0,81.0,80.0,41.77,10.1,2.89,"[9, 10, 16, 20, 32, 46, 63, 67]","{'n_estimators': 120, 'max_depth': 5}",,,,,,,
0.997,0.9981684981684982,0.9918478260869565,0.9949729797662437,0.9997598601638723,0.999117758002673,0.0,1.0,4_classical_actor_critic,0.0,61,0.0,60.0,5.08,ok,CIC-IDS-2017,A,43,5.08,,,60.0,,,,,"{'n_estimators': 200.0, 'max_depth': 2.0, 'learning_rate': 0.14, 'min_child_weight': 1.0, 'gamma': 0.0, 'subsample': 0.9, 'colsample_bytree': 0.9, 'reg_alpha': 0.0, 'reg_lambda': 1.0}",0.0,51.0,9.0,0.0,0.993882321370956,,
0.996,0.9947190435931936,0.9919366297243535,0.9933209647495362,0.9997080580420573,0.9989865689398142,0.0016339869281045752,0.9983660130718954,5_vqc_actor_critic_ordinary_grad,4.0,61,1966080.0,6.0,8.48,ok,CIC-IDS-2017,A,43,8.48,,,60.0,,,,,"{'n_estimators': 275.0, 'max_depth': 7.0, 'learning_rate': 0.019999999999999993, 'min_child_weight': 1.0, 'gamma': 0.25, 'subsample': 0.9, 'colsample_bytree': 0.9, 'reg_alpha': 0.0, 'reg_lambda': 1.0}",11.0,51.0,9.0,3900.0,0.992241147513858,,
0.996,0.9975609756097561,0.9891304347826086,0.993283000617964,0.9996828970114615,0.9989368778262551,0.0,1.0,6_qnac_fixed_shots,4.0,61,1966080.0,60.0,9.7,ok,CIC-IDS-2017,A,43,9.7,,,60.0,,,,,"{'n_estimators': 250.0, 'max_depth': 9.0, 'learning_rate': 0.01, 'min_child_weight': 3.0, 'gamma': 0.25, 'subsample': 0.9, 'colsample_bytree': 0.9, 'reg_alpha': 0.0, 'reg_lambda': 1.0}",11.0,51.0,9.0,3900.0,0.9927700161656753,,
0.9956666666666667,0.9973587972368956,0.9882246376811594,0.9927180645586522,0.9994727284029554,0.9985384109509129,0.0,1.0,7_sf_qnac_ids,4.0,61,153600.0,60.0,7.33,ok,CIC-IDS-2017,A,43,7.33,,,60.0,,,,,"{'n_estimators': 175.0, 'max_depth': 9.0, 'learning_rate': 0.01, 'min_child_weight': 1.0, 'gamma': 0.25, 'subsample': 0.9, 'colsample_bytree': 0.9, 'reg_alpha': 0.0, 'reg_lambda': 1.0}",11.0,51.0,9.0,3900.0,0.9893881911312978,,
0.7283333333333334,0.6739061398702688,0.7788167803353225,0.6726833578965843,0.8760878445581132,0.7182171983658764,0.30106209150326796,0.698937908496732,bench_logreg,,1,,,3.07,ok,CIC-IDS-2017,A,43,3.07,,,,,,,,,,,,,,,
0.998,0.9973654916512059,0.9959683148621767,0.9966651820551222,0.9999674386662878,0.9998584802507419,0.0008169934640522876,0.9991830065359477,bench_random_forest,,1,,,0.95,ok,CIC-IDS-2017,A,43,0.95,,,,,,,,,,,,,,,
0.9996666666666667,0.999795835034708,0.9990942028985508,0.9994445875145865,0.9999985199393768,0.999993459948726,0.0,1.0,bench_lightgbm,,1,,,0.49,ok,CIC-IDS-2017,A,43,0.49,,,,,,,,,,,,,,,
0.9986666666666667,0.9977799090650753,0.9977799090650753,0.9977799090650753,0.9999937097423511,0.9999706400268664,0.0008169934640522876,0.9991830065359477,bench_optuna_xgboost,,26,,,13.25,ok,CIC-IDS-2017,A,43,13.25,,,,,,,,"{'n_estimators': 313, 'max_depth': 9, 'learning_rate': 0.04690230649670237, 'min_child_weight': 2, 'gamma': 0.3644946631554581, 'subsample': 0.9969180232993495, 'colsample_bytree': 0.5751209070706814}",,,,,,12.58,
0.8203333333333334,0.6916324837468527,0.6471742682580278,0.6632371841130423,0.4993706042199489,0.43182485997918596,0.07883986928104575,0.9211601307189542,bench_quantum_kernel_classifier,3.0,1,0.0,,3.13,ok,CIC-IDS-2017,A,43,3.13,,,,,,,,,,,,,,,"analytic (shot-free) quantum feature map, classical simulate-only deployment"
0.9966666666666667,0.9958441558441558,0.9930690643532062,0.9944497726626882,0.9995590679249404,0.9981598310416168,0.0012264922322158627,0.9987735077677842,1_xgboost_default,0.0,1,0.0,0.0,0.6,ok,CIC-IDS-2017,A,44,0.6,,,,,,,,,,,,,,,
